"תאריך","הגרלה","_1_","_2_","_3_","_4_","_5_","_6_","_7_","_8_","_9_","_10_","_11_","_12_","_13_","_14_","_15_","_16_","_17_","מספר_הזוכים_בפרס_הראשון"
"23/02/14","6654","01","07","15","21","25","26","28","29","30","32","38","40","48","61","62","64","66","0"
"22/02/14","6653","02","03","06","11","14","15","18","22","24","27","38","39","48","53","60","64","69","0"
"21/02/14","6652","03","09","14","17","18","19","21","22","26","31","32","38","42","43","54","59","66","1"
"20/02/14","6651","03","05","09","14","22","25","32","35","39","41","47","49","50","57","60","62","64","0"
"20/02/14","6650","06","11","16","23","26","28","35","38","41","43","44","45","59","62","64","65","66","1"
"19/02/14","6649","02","03","11","16","17","18","26","32","34","38","41","50","52","53","55","60","67","0"
"19/02/14","6648","06","12","16","18","24","25","32","33","37","44","45","47","53","59","60","63","65","1"
"18/02/14","6647","02","03","04","05","06","17","19","21","23","28","33","43","44","56","57","64","65","0"
"18/02/14","6646","04","10","12","19","20","23","27","33","37","39","43","45","57","59","60","67","69","1"
"17/02/14","6645","01","06","07","09","11","15","23","27","36","42","43","54","56","61","63","65","68","0"
"17/02/14","6644","01","03","04","13","15","19","24","25","38","39","49","53","57","62","66","68","69","1"
"16/02/14","6643","03","13","16","17","18","22","26","28","29","38","41","45","46","51","52","54","63","2"
"16/02/14","6642","01","06","11","14","17","22","23","26","29","35","36","37","44","45","50","66","70","2"
"15/02/14","6641","03","06","09","11","17","19","20","24","25","28","42","46","48","50","56","58","61","2"
"14/02/14","6640","03","04","09","12","13","14","21","22","29","36","41","45","51","58","65","69","70","0"
"13/02/14","6639","04","12","13","18","20","26","31","45","51","52","54","58","60","63","64","66","67","0"
"13/02/14","6638","02","04","07","08","13","22","24","32","34","35","36","41","46","58","60","62","69","0"
"12/02/14","6637","01","03","04","13","18","19","31","33","36","38","49","52","54","57","58","62","65","0"
"12/02/14","6636","03","05","08","12","14","21","24","36","38","45","51","53","58","60","64","65","68","1"
"11/02/14","6635","01","03","05","15","16","17","29","31","32","39","45","51","53","54","55","63","67","0"
"11/02/14","6634","06","07","12","20","22","27","28","29","37","39","41","44","45","58","60","62","68","0"
"10/02/14","6633","01","05","07","09","23","26","28","29","31","38","47","53","56","61","62","67","70","0"
"10/02/14","6632","04","06","14","17","21","23","24","26","28","29","31","36","37","41","64","66","70","1"
"09/02/14","6631","08","12","13","26","27","28","30","31","35","40","43","45","50","51","57","67","70","4"
"09/02/14","6630","01","02","03","07","08","11","12","18","25","30","32","40","47","50","51","52","54","1"
"08/02/14","6629","01","14","24","34","36","38","39","41","46","50","52","54","57","60","61","62","67","0"
"07/02/14","6628","04","06","10","12","14","18","21","22","27","32","35","37","41","44","50","60","67","0"
"06/02/14","6627","05","06","07","13","14","18","28","34","35","41","42","44","49","55","60","65","67","0"
"06/02/14","6626","05","10","12","13","15","21","36","40","43","44","45","46","47","49","52","60","61","0"
"05/02/14","6625","06","08","11","16","19","20","24","27","39","40","47","49","50","59","60","61","62","1"
"05/02/14","6624","01","04","11","21","24","25","27","30","31","35","38","41","47","53","57","60","70","1"
"04/02/14","6623","03","09","16","18","20","26","34","35","38","41","43","51","54","55","62","67","68","1"
"04/02/14","6622","04","07","17","23","32","35","38","41","43","44","49","55","59","61","65","67","69","0"
"03/02/14","6621","07","19","22","23","25","29","30","32","40","42","45","48","55","58","60","68","69","0"
"03/02/14","6620","04","09","10","11","13","15","16","24","29","31","36","37","42","50","53","64","68","0"
"02/02/14","6619","05","06","12","21","29","31","32","33","36","37","42","51","53","58","64","68","69","1"
"02/02/14","6618","01","03","11","15","20","22","35","39","42","47","50","52","53","55","61","65","67","0"
"01/02/14","6617","01","03","06","17","22","23","24","28","32","34","39","45","52","55","60","62","63","0"
"31/01/14","6616","07","09","11","13","16","19","26","28","29","31","36","41","45","58","60","65","69","2"
"30/01/14","6615","05","09","16","20","21","23","24","25","31","34","43","47","57","61","66","69","70","0"
"30/01/14","6614","01","02","11","12","13","14","19","26","28","30","31","35","38","41","42","45","58","2"
"29/01/14","6613","03","07","09","18","20","22","24","26","44","47","48","49","53","59","60","63","68","0"
"29/01/14","6612","04","17","19","23","26","39","42","44","47","54","55","57","59","64","67","68","70","1"
"28/01/14","6611","01","03","17","22","24","31","38","39","45","48","52","60","63","64","65","69","70","0"
"28/01/14","6610","06","10","13","15","16","18","20","28","30","35","41","46","51","57","60","61","64","0"
"27/01/14","6609","04","06","15","16","22","23","26","35","44","46","48","55","56","57","62","65","69","1"
"27/01/14","6608","15","16","17","20","23","30","33","34","36","41","44","50","56","59","64","65","68","0"
"26/01/14","6607","04","07","12","15","21","23","25","29","34","37","47","57","58","59","62","64","66","0"
"26/01/14","6606","01","10","12","13","15","16","27","30","32","33","35","39","40","49","60","63","67","0"
"25/01/14","6605","06","10","12","15","17","26","33","36","53","56","57","58","59","60","64","68","69","0"
"24/01/14","6604","06","09","13","14","19","34","37","40","45","46","48","50","51","55","57","67","69","0"
"23/01/14","6603","01","04","07","08","11","13","14","18","25","30","31","32","36","42","50","51","60","0"
"23/01/14","6602","01","03","04","05","13","15","16","19","24","25","40","47","48","52","59","66","69","0"
"22/01/14","6601","03","06","08","10","24","29","36","38","40","45","48","54","57","63","68","69","70","1"
"22/01/14","6600","04","05","14","19","24","27","32","36","38","50","52","54","55","62","63","64","65","0"
"21/01/14","6599","02","08","10","13","19","20","25","26","35","40","46","47","54","63","68","69","70","2"
"21/01/14","6598","05","07","08","10","11","12","29","32","33","36","40","42","52","55","58","66","68","2"
"20/01/14","6597","11","13","15","17","19","20","26","27","37","38","41","44","45","46","49","50","51","0"
"20/01/14","6596","07","20","25","26","28","29","34","38","46","47","49","53","55","56","58","65","67","0"
"19/01/14","6595","03","04","08","16","23","24","26","29","30","37","43","45","51","52","63","65","70","0"
"19/01/14","6594","06","07","11","16","21","23","25","28","37","42","44","47","49","57","67","68","69","1"
"18/01/14","6593","06","10","12","20","23","25","28","29","36","51","53","54","55","58","65","67","69","0"
"17/01/14","6592","07","08","11","15","25","38","39","42","45","52","53","57","58","60","63","64","70","1"
"16/01/14","6591","02","09","10","13","14","17","18","27","31","41","42","45","48","55","57","61","63","0"
"16/01/14","6590","01","08","14","15","21","26","27","32","33","38","41","42","46","53","57","59","65","1"
"15/01/14","6589","03","05","12","14","15","26","27","29","32","38","41","45","49","51","63","66","70","0"
"15/01/14","6588","06","14","15","16","23","28","34","36","41","44","45","49","53","60","62","64","66","0"
"14/01/14","6587","09","11","12","16","17","18","23","24","29","33","43","44","45","60","61","65","69","0"
"14/01/14","6586","05","08","14","16","19","21","33","36","40","44","51","52","55","59","60","61","66","0"
"13/01/14","6585","02","04","05","10","11","14","18","20","24","31","35","37","39","41","44","50","62","2"
"13/01/14","6584","04","10","14","21","25","27","28","32","33","37","39","44","45","49","51","54","63","0"
"12/01/14","6583","03","05","12","18","20","21","29","31","34","41","44","48","54","57","59","61","70","0"
"12/01/14","6582","03","05","11","16","17","18","19","23","26","29","41","48","52","55","64","66","69","0"
"11/01/14","6581","06","10","12","27","34","35","37","38","40","42","51","56","58","59","60","63","69","0"
"10/01/14","6580","06","12","14","16","22","25","28","35","42","44","45","48","55","59","61","67","70","1"
"09/01/14","6579","02","06","10","21","28","30","42","43","45","47","50","54","56","58","64","66","70","0"
"09/01/14","6578","01","04","05","08","09","10","16","17","37","43","44","45","47","53","54","64","66","0"
"08/01/14","6577","03","05","06","10","21","22","24","25","30","32","36","38","45","50","53","58","64","2"
"08/01/14","6576","03","16","19","24","26","31","43","48","49","52","55","57","59","61","63","64","66","1"
"07/01/14","6575","01","03","07","09","10","15","21","26","41","44","45","52","55","60","63","64","65","0"
"07/01/14","6574","07","08","09","19","27","31","32","34","37","44","51","56","59","61","62","68","69","0"
"06/01/14","6573","05","13","14","18","26","30","34","35","37","41","50","52","57","58","62","64","65","0"
"06/01/14","6572","02","03","10","13","14","17","18","19","25","36","46","51","54","57","59","61","68","0"
"05/01/14","6571","12","21","23","26","30","31","32","44","46","49","53","56","57","65","66","69","70","0"
"05/01/14","6570","01","06","12","16","17","21","28","35","47","51","55","58","61","62","65","69","70","0"
"04/01/14","6569","04","07","13","17","20","30","35","38","39","49","52","55","56","57","61","64","66","0"
"03/01/14","6568","02","04","05","10","17","22","30","33","39","43","44","47","50","51","53","57","68","0"
"02/01/14","6567","04","08","12","20","24","31","33","34","36","44","47","48","52","61","62","68","69","0"
"02/01/14","6566","01","13","22","28","29","31","39","44","47","48","50","55","56","57","59","60","70","1"
"01/01/14","6565","04","08","11","19","23","34","35","36","42","43","45","49","53","56","57","58","62","0"
"01/01/14","6564","02","03","04","07","08","11","13","21","28","31","33","42","44","47","50","55","66","2"
"31/12/13","6563","01","02","17","22","23","25","28","29","36","38","40","42","45","51","52","54","69","0"
"31/12/13","6562","05","06","09","14","15","19","22","23","26","27","29","41","46","58","61","65","69","0"
"30/12/13","6561","02","05","08","09","11","14","15","20","32","36","37","38","45","48","50","55","57","0"
"30/12/13","6560","09","10","11","12","14","15","18","20","21","24","27","33","34","36","52","61","67","0"
"29/12/13","6559","10","17","18","24","27","29","40","43","46","47","50","51","59","61","66","68","70","0"
"29/12/13","6558","02","05","12","14","15","19","23","29","35","38","43","48","49","50","54","59","61","1"
"28/12/13","6557","02","03","06","08","10","11","15","17","21","23","28","38","40","48","52","55","65","4"
"27/12/13","6556","01","02","03","15","27","32","35","40","50","51","53","55","59","61","62","65","67","0"
"26/12/13","6555","13","15","18","25","26","27","28","29","30","35","41","48","51","52","63","65","66","0"
"26/12/13","6554","06","11","16","19","22","30","34","36","37","46","49","51","56","57","58","60","64","0"
"25/12/13","6553","01","19","24","29","30","36","38","41","45","48","51","53","55","58","64","67","70","0"
"25/12/13","6552","03","14","17","18","19","25","28","30","34","38","47","53","56","62","63","66","70","0"
"24/12/13","6551","05","21","22","27","32","34","35","38","40","44","45","48","49","55","61","63","67","2"
"24/12/13","6550","01","04","08","10","14","19","23","26","32","37","38","39","41","43","59","62","65","1"
"23/12/13","6549","02","06","08","09","22","24","26","35","37","38","41","43","45","55","57","61","67","1"
"23/12/13","6548","09","13","17","24","27","29","34","35","41","43","47","49","52","55","62","65","68","0"
"22/12/13","6547","03","06","07","13","15","17","24","26","28","31","42","43","44","46","52","60","66","2"
"22/12/13","6546","03","13","18","25","26","36","38","39","40","42","50","52","53","59","66","69","70","0"
"21/12/13","6545","01","03","04","10","11","19","24","35","38","41","42","44","56","60","62","63","70","1"
"20/12/13","6544","05","11","16","24","27","29","31","32","36","40","42","50","58","59","62","68","70","0"
"19/12/13","6543","02","08","10","12","14","19","24","25","28","31","32","40","41","54","55","66","68","0"
"19/12/13","6542","01","08","21","32","33","36","39","42","43","45","47","50","52","53","62","63","65","0"
"18/12/13","6541","01","03","21","26","32","34","40","43","46","48","49","54","56","58","60","62","68","0"
"18/12/13","6540","02","07","11","12","14","18","19","20","22","35","40","41","49","51","62","66","70","0"
"17/12/13","6539","05","09","14","20","21","22","26","30","31","39","41","46","58","65","67","69","70","0"
"17/12/13","6538","02","08","10","11","12","16","25","26","37","38","40","41","47","55","66","67","69","0"
"16/12/13","6537","05","11","18","28","32","33","40","41","46","55","56","57","59","61","62","63","67","0"
"16/12/13","6536","03","04","06","19","23","26","27","29","35","43","46","47","60","61","63","65","67","0"
"15/12/13","6535","04","12","13","20","25","28","29","30","31","32","45","46","51","60","61","64","69","0"
"15/12/13","6534","06","07","09","12","13","18","22","24","32","38","39","44","49","52","60","61","63","0"
"14/12/13","6533","07","08","15","22","23","27","32","34","37","38","40","42","47","50","60","63","64","0"
"13/12/13","6532","08","14","28","31","36","39","42","43","46","47","51","56","59","63","64","67","70","0"
"12/12/13","6531","06","08","11","12","16","18","21","23","26","36","46","49","50","52","55","69","70","1"
"12/12/13","6530","10","11","18","23","24","26","27","36","41","43","45","47","55","56","59","63","70","0"
"11/12/13","6529","02","04","06","08","12","13","14","16","23","24","25","29","32","42","53","55","62","0"
"11/12/13","6528","04","05","11","13","15","26","27","31","40","44","53","55","56","57","64","69","70","0"
"10/12/13","6527","05","08","09","12","15","19","20","29","32","33","36","37","41","47","51","56","59","0"
"10/12/13","6526","10","16","26","30","31","34","44","49","50","51","53","54","60","63","64","69","70","0"
"09/12/13","6525","06","10","14","16","17","21","26","31","36","37","38","44","50","59","61","65","67","0"
"09/12/13","6524","01","13","19","21","23","27","32","37","41","43","44","54","55","60","64","68","70","0"
"08/12/13","6523","02","11","12","15","16","17","18","36","37","38","44","45","50","56","58","62","69","0"
"08/12/13","6522","02","03","14","15","20","27","31","32","36","45","50","52","57","58","59","66","69","1"
"07/12/13","6521","04","06","17","23","24","26","28","29","33","40","46","50","55","59","62","66","70","0"
"06/12/13","6520","05","06","07","12","14","21","25","29","30","31","35","38","40","47","50","51","65","0"
"05/12/13","6519","03","14","19","22","27","31","34","35","38","42","44","51","55","57","66","67","69","0"
"05/12/13","6518","04","05","13","16","17","20","34","36","37","44","46","49","52","53","61","62","70","0"
"04/12/13","6517","02","03","05","09","12","14","19","25","26","27","29","39","45","51","60","64","65","0"
"04/12/13","6516","01","02","08","09","14","24","28","32","37","38","42","44","47","50","53","58","70","1"
"03/12/13","6515","07","12","19","25","30","33","34","39","41","45","51","52","54","67","68","69","70","0"
"03/12/13","6514","01","03","07","09","10","13","17","19","27","31","32","33","36","44","62","68","70","2"
"02/12/13","6513","01","07","10","17","18","22","27","32","36","40","42","43","47","55","59","61","68","2"
"02/12/13","6512","11","13","14","18","20","23","26","27","29","31","36","44","49","52","53","55","67","0"
"01/12/13","6511","01","02","12","16","27","31","32","34","37","38","45","47","51","52","54","58","64","0"
"01/12/13","6510","13","24","27","28","39","40","43","44","45","47","48","49","55","62","65","66","70","1"
"30/11/13","6509","02","08","16","18","20","23","30","33","39","42","45","50","52","55","56","61","70","0"
"29/11/13","6508","07","08","09","12","13","16","17","24","30","31","33","45","48","49","51","54","63","1"
"28/11/13","6507","04","22","23","31","33","34","35","40","42","43","47","51","52","57","65","67","69","0"
"28/11/13","6506","03","05","09","14","15","25","27","35","36","46","51","54","57","60","67","68","70","0"
"27/11/13","6505","05","06","08","10","13","15","17","18","20","33","38","46","49","50","53","60","69","0"
"27/11/13","6504","08","16","20","25","28","31","34","39","40","42","48","50","55","56","63","69","70","1"
"26/11/13","6503","01","08","17","24","25","30","32","39","41","45","49","51","54","55","59","67","69","0"
"26/11/13","6502","07","15","17","18","19","22","24","27","32","35","43","44","47","56","58","60","66","0"
"25/11/13","6501","03","07","11","12","18","19","28","30","32","36","39","44","52","58","63","64","66","0"
"25/11/13","6500","10","26","28","33","34","36","40","44","45","46","47","52","53","60","62","63","69","1"
"24/11/13","6499","01","03","04","10","15","21","29","35","36","38","44","50","53","55","60","63","65","0"
"24/11/13","6498","02","04","19","28","33","38","39","40","42","50","57","58","59","62","65","66","67","0"
"23/11/13","6497","02","10","16","18","25","27","29","30","34","40","43","45","60","63","64","67","68","1"
"22/11/13","6496","03","05","14","15","17","27","31","39","41","45","46","49","54","58","60","64","66","0"
"21/11/13","6495","09","12","15","19","25","31","32","33","34","36","37","54","55","59","61","68","70","0"
"21/11/13","6494","07","09","22","24","26","30","32","36","41","48","54","57","60","63","67","69","70","0"
"20/11/13","6493","08","09","10","24","30","32","36","39","40","43","44","50","53","56","60","62","63","1"
"20/11/13","6492","03","05","07","08","09","18","20","29","30","35","38","40","41","44","47","54","59","1"
"19/11/13","6491","03","13","17","21","22","24","25","32","35","37","42","43","44","54","57","62","70","0"
"19/11/13","6490","02","03","09","14","19","20","23","27","29","33","35","39","40","42","48","50","59","0"
"18/11/13","6489","07","10","12","14","19","23","26","30","33","34","38","41","43","46","47","59","65","0"
"18/11/13","6488","01","09","12","14","15","21","22","43","44","47","49","52","53","55","61","64","66","0"
"17/11/13","6487","01","02","07","08","12","14","28","29","32","36","49","52","58","59","63","64","69","0"
"17/11/13","6486","04","06","10","15","25","26","27","28","30","32","36","47","49","58","61","66","69","0"
"16/11/13","6485","01","03","17","23","24","28","32","33","37","39","40","48","52","60","65","68","69","0"
"15/11/13","6484","01","04","05","10","19","22","25","29","34","48","54","55","59","60","63","69","70","1"
"14/11/13","6483","01","02","03","10","13","17","21","35","40","45","50","51","54","62","67","69","70","0"
"14/11/13","6482","02","07","08","11","24","30","36","42","46","47","50","54","64","65","66","67","68","1"
"13/11/13","6481","03","13","15","29","30","38","40","41","43","50","51","56","57","59","60","67","69","0"
"13/11/13","6480","05","07","19","27","31","32","38","39","43","46","51","54","59","62","63","65","70","1"
"12/11/13","6479","04","11","14","20","23","24","29","31","37","39","40","42","45","46","47","53","59","0"
"12/11/13","6478","17","24","26","27","31","32","39","46","51","52","53","56","58","61","64","66","70","1"
"11/11/13","6477","11","14","20","35","38","44","45","48","53","56","57","58","64","66","67","69","70","1"
"11/11/13","6476","06","14","18","21","23","30","33","42","46","51","56","57","60","62","63","67","68","0"
"10/11/13","6475","02","07","08","15","20","21","22","26","36","38","39","54","60","61","62","67","68","2"
"10/11/13","6474","02","06","09","10","23","24","28","33","35","41","44","48","50","53","59","66","70","0"
"09/11/13","6473","01","02","03","08","13","16","23","25","31","35","40","44","47","49","50","53","62","0"
"08/11/13","6472","01","02","06","16","18","22","29","30","33","43","44","47","54","55","58","63","70","0"
"07/11/13","6471","03","11","12","20","22","25","26","27","33","37","38","41","52","53","64","67","69","0"
"07/11/13","6470","03","04","08","11","15","19","20","22","24","26","37","40","45","46","51","56","64","0"
"06/11/13","6469","01","03","05","09","11","15","16","17","18","34","37","41","46","47","64","67","70","2"
"06/11/13","6468","05","06","15","16","24","25","32","35","42","44","46","49","50","51","59","63","68","0"
"05/11/13","6467","04","06","09","13","16","23","28","30","31","32","34","38","46","50","59","62","69","0"
"05/11/13","6466","04","06","09","10","19","37","40","41","43","45","46","49","51","61","67","69","70","1"
"04/11/13","6465","01","07","08","13","16","24","32","34","35","37","44","48","56","63","64","66","67","2"
"04/11/13","6464","01","02","03","04","07","16","17","21","23","26","30","36","38","42","50","57","58","0"
"03/11/13","6463","04","05","06","09","15","20","21","23","28","31","42","45","46","50","59","68","70","0"
"03/11/13","6462","05","11","13","14","18","21","25","27","37","41","45","53","54","56","63","65","68","0"
"02/11/13","6461","03","04","06","07","08","14","16","20","21","22","28","30","33","44","52","54","70","0"
"01/11/13","6460","03","04","08","12","14","16","17","23","30","34","42","43","44","45","48","52","55","0"
"31/10/13","6459","02","03","11","13","20","25","32","36","40","44","49","51","55","56","62","68","70","0"
"31/10/13","6458","06","07","08","21","25","26","27","28","32","35","38","43","47","49","54","59","68","1"
"30/10/13","6457","05","06","11","14","20","26","33","35","38","39","46","50","53","60","61","65","66","1"
"30/10/13","6456","01","02","07","08","09","15","17","25","26","36","37","38","42","49","56","61","67","1"
"29/10/13","6455","06","14","17","18","20","21","23","27","45","46","50","51","52","53","64","68","69","1"
"29/10/13","6454","06","09","10","13","20","30","33","40","42","45","47","52","62","63","64","67","69","0"
"28/10/13","6453","04","05","06","07","14","19","27","29","41","42","45","46","49","60","63","66","69","0"
"28/10/13","6452","04","07","11","14","21","22","25","30","32","41","42","49","51","55","56","66","68","1"
"27/10/13","6451","06","15","17","20","23","25","26","27","36","43","46","49","51","52","54","56","60","0"
"27/10/13","6450","03","04","20","30","34","37","38","39","40","45","48","49","57","59","61","66","67","0"
"26/10/13","6449","05","07","16","23","29","32","37","40","41","46","47","56","59","60","64","68","70","0"
"25/10/13","6448","01","14","19","20","27","31","32","33","34","35","38","48","52","59","62","63","64","0"
"24/10/13","6447","01","06","08","11","15","20","28","32","35","40","42","59","62","63","66","67","70","0"
"24/10/13","6446","06","13","17","18","24","29","36","40","42","52","53","55","58","61","62","63","69","0"
"23/10/13","6445","03","10","11","15","22","27","29","35","37","38","39","42","47","55","62","63","65","0"
"23/10/13","6444","14","21","22","23","25","29","30","34","40","50","52","53","57","59","62","67","69","1"
"22/10/13","6443","07","12","16","19","20","25","27","28","31","45","52","53","54","57","58","62","67","0"
"22/10/13","6442","01","02","05","08","11","15","25","30","37","39","40","53","57","58","65","68","69","1"
"21/10/13","6441","01","04","05","10","14","17","21","22","27","30","35","37","41","43","46","48","55","0"
"21/10/13","6440","03","08","09","11","21","22","24","34","35","36","41","52","55","58","59","62","66","0"
"20/10/13","6439","02","04","10","12","15","29","30","32","35","36","39","41","42","45","51","54","58","0"
"20/10/13","6438","02","08","10","12","17","20","24","26","32","38","39","50","54","62","64","67","69","0"
"19/10/13","6437","02","13","21","22","23","30","35","36","38","42","44","58","62","65","67","68","70","0"
"18/10/13","6436","04","05","07","08","11","22","24","28","31","35","42","45","55","56","60","67","70","0"
